TWEET # , MESSAGE , MATCH , POLARITY
568, crypticnoone university of phoenix watching all the colleges make their classes online   , No Match, Neutral 
569, ohiou all ohio university courses will move to remote and online delivery for the remainder of the semester  , No Match, Neutral 
570, hopihoekstra unl has a ban in place we are also suspending all nonessential universitysponsored domestic and international travel through the end of the semester all summer studyabroad programs through june 30 are canceled  , No Match, Neutral 
571, a colleague just informed me that johns hopkins universitys corona map website has no reported uk cases  , No Match, Neutral 
572, losing my sight gave me vision  yetnebersh nigussie is an ethiopian lawyer and campaigner who lost her sight at the age of five she says being blind saved her from an early marriage and allowed her to attend school and university   , losing | lost | blind | , Negative 
573, zachsangshow displaced university students uhaul wants to help you  the company has decided to give students a month of storage for , displaced, Negative 
574, some good news for your friday unlv has recently recorded a firstyear retention rate of about 80  a historic number for the university unlvprovost chris heavey amp juanita fain unlvs vp for student affairs talk with knprnews  , good, Positive 
575, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
576, lancegooden college students  if you live in university housing and your school is forcing you to leave campus ask that they refund , refund, Positive 
577, sheffhallamuni for the latest information on the universitys response to the global coronavirus situation please visit  , No Match, Neutral 
578, diazjorge77 ucla usc uc irvine uc santa barbara cslb san diego state loyola marymount  pepperdine university cal state northridge cha , No Match, Neutral 
579, a whole university of ibadan dey plagiarize or na the second university copy them  , plagiarize, Negative 
580, aaah two weeks of no university bc of the virus , virus, Negative 
581, joebaileysports confirmed former mr basketball winner matt fleming commits to university of maine just as his other brother graduates , winner, Positive 
582, paulsperry breaking university of texas today canceled classes amp closed university after confirming first case of covid19 this morn , breaking, Negative 
583, knf we at da crib university fr now , No Match, Neutral 
584, alteralison hagenilda university of manchester from this monday havent heard about salford yet , No Match, Neutral 
585, my university gave me an extended winterspring break until the end of april i guess that means more time to study for my japanese proficiency exams and work on other stuff including my research , break | work | , Neutral 
586, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
587, wlvuni the university remains open at the current time and we have launched a dedicated webpage  which includ , dedicated, Positive 
588, ajdachamp the best university caurys20 , best, Positive 
589, higheredsocial hey instagram you know what would be really helpful for colleges right now the ability to have swipe up links in st , helpful | right | swipe | , Positive 
590, master5212 marinesradio1 fernandoamandi fnv01 doom 5 people who were on flight from iberia went this afternoon to perform the screening at the university clinical hospital and were told that they did not have the tests to perform the screening tests great , doom | great | , Neutral 
591, sppeoples in canada you call health line number they send a swab to your house for test sample so you dont have to leave they test  you get results within 48 hours also a university here isolated virus and is testing a vaccine and will hopefully begin human trials soon yay  , isolated | virus | yay | , Negative 
592, huchronicle latest hofstra university notifies the community by email that all classes will shift to online instruction starting mond , No Match, Neutral 
593, fantastic to see that swansea university is a finalist in the guardian university awards 2020 student experience category our llm programmes in international maritime international commercial oil gas and renewable energy ip law and international trade law are wellknown  , fantastic | awards | , Positive 
594, one of the most startling secondary consequences of the corona virus is showing how poor university professors are at using technology , startling | virus | poor | , Negative 
595, mood for todaythis weekthis monththis season despite the chaos within our community and world  we will remain strong pepperdinestrong resilience  pepperdine university  , chaos | strong | , Neutral 
596, crypticnoone university of phoenix watching all the colleges make their classes online   , No Match, Neutral 
597, iranintlen the dean of tehran medical science university abbasali karimi was quarantined after contracting coronavirus , No Match, Neutral 
598, i worked for 20 years as a highly trained registered respiratory therapist at some of the top hospitals in the country thomas jefferson university  hospital tjuhospital university of virginia uva  university of vemont medical center uvmmedcenter i worked through the h1n1  , worked | top | worked | , Positive 
599, notthefakesvp southern arkansas university girls softball team 1 in the nation avg over 9 runs a game my niece is on the team whos a senior and im really sad for her , sad, Negative 
600, missnanadarling they announced the nhl was closing down for health and safety reasons within hours of that announcement some dudes from university of saskatchewan are attempting to make a vaccine and now have it in testing stages want something done right threaten hockey , right | threaten | , Neutral 
601, can you recommend anyone for this job renewable term faculty   santaclara ca , recommend, Positive 
602, just posted a photo  delta state university  , No Match, Neutral 
603, dawsonsfield university of miami professor bagley pleads guilty to a 3m corruption scheme from venezuela  cant wait until he provid , guilty | corruption | , Negative 
604, coachahki depends on standards if they never enroll in an institution or university taking classes as a fulltime student their clock therefore never starts that is just what i  have been told by coaches at those levels not saying its right but its up to their compliance dept , right, Positive 
605, bandyxlee1 i am a mildmannered petite asian professor of an ivy league university but i grew up on the violent streets of the bronx , violent, Negative 
606, the word of these times is denature its what soap does to the viral envelope when i taught gen bio lab at university it was also an early step in extracting dna from kiwi for examination smooshing kiwi with shampoo for cell lysis soap ftw , ftw, Positive 
607, libarbarian 1000 layoffs at the university of alberta due to provincial cuts this is not the jobs pipelines and the economy jken , No Match, Neutral 
608, wrycrow alisonmcnab additionally if the rational of campus closure is student safety but students who need to should go to an open and often public space like a university library the message is quite contradictory , rational | like | contradictory | , Positive 
609, pbpicklez how is the university still wanting us to continue classes too much is going on and students need time to process this and , No Match, Neutral 
610, teddybh2o south florida 305954  university of louisville  32nd pick in the nfl draft   its crazy how im the old guy now lol , crazy, Negative 
611, diazjorge77 ucla usc uc irvine uc santa barbara cslb san diego state loyola marymount  pepperdine university cal state northridge cha , No Match, Neutral 
612, university of phoenix los angeles , No Match, Neutral 
613, jkroegerjt courierjournal they also have to be enrolled in classes and spend more money at the university , No Match, Neutral 
614, mattatthestate news brad brownell is returning to clemson for his 11th season  , No Match, Neutral 
615, iamafish because of the virus a lot of people are having to live with their parents instead of going to their school or university , virus, Negative 
616, mariefrrenaud university of alberta to eliminate up to 1000 positions in face of funding cuts  cbc news  , No Match, Neutral 
617, motherjones if youve opened facebook or twitter in the past few days you might have come across a post with alarming information abo , alarming, Negative 
618, amandaperram the superspreader of canberra how peter dutton met ivanka trump attended cabinet meetings caught three flights and o , trump, Positive 
619, blueyedproducer stilltriing katiecouric potus ignore subpoenas  telling others to ignore subpoenas  threaten witnesses  lie about payments  cheat foundations  run fraudulent university  harass the scots  not pay workers  hire undocumented immigrants  obstruct justice , ignore | subpoenas | ignore | subpoenas | threaten | lie | cheat | fraudulent | harass | undocumented | obstruct | , Negative 
620, toryfibs turkey has a single case of coronavirus but they are taking no chances today they have ordered the closing of every school , No Match, Neutral 
621, worldmeetdani westudentnurse university guidelines say that students should not be near suspected cases but every side room on my wa , No Match, Neutral 
622, siempreelise why tf am i gonna pay uts expensive ass tuition for all the classes to be online   im transferring to devry universi , expensive, Negative 
623, cornell in response to the escalating coronavirus covid19 pandemic cornell university is suspending classes on its ithaca campus a , No Match, Neutral 
624, as nations around the world adapt to the impact of the coronavirus pandemic the university continues to make the health and safety of our students faculty staff and community our first priority for current updates and specific information pages visit   , No Match, Neutral 
625, rosemar06585176 why isnt the msm focusing on the more positive side of this   over 66000 people have recovered from coronavirus ar , positive, Positive 
626, mdiakite im still praying you guys will get to play the tournament or another year of eligibility you have made such an impact on the university and fans my son is such a big fan of yours he is the shoulder shrug kid from camp youre one of the best to every wear orange and blue , fans | shrug | best | , Positive 
627, ullafayette ul lafayette will begin remote course delivery to mitigate public health concerns related to covid19 alternative deliver , concerns, Negative 
628, ashiannahaven university series 03  chasing in the wild  author gwynette jan saludes 4reuminct gwyomi citw sitaw  header peach , wild | peach | , Neutral 
629, lootenantdans7 the university is 100 protected from covid19 thanks to duo twofactor authorization , No Match, Neutral 
630, haggisuk peter drobacoxford university  the most effective way to flatten the peak is to take early amp decisive action amp at the m , effective | decisive | , Positive 
631, illinoisstateu president larry dietz wrote this letter today to keep the illinois state university community informed about campus pla , No Match, Neutral 
632, hfxmda health saint marys university and msvu follow suit with dalhousie university in covid19 prevention  , saint, Positive 
633, ufhealth effective immediately the patient visitation policy at all university of florida health hospitals and freestanding emergency , effective | patient | emergency | , Positive 
634, nanaama university of ghana  close all schools down amidst covid19  sign the petition  via change , No Match, Neutral 
635, rinasawaupdates just a few years ago after she graduated with a degree in politics psychology and sociology from the university , No Match, Neutral 
636, mplssouthwest congratulations to junior julia stevens on being named all conference in hockey julia recently committed to play d1 hoc , congratulations, Positive 
637, sneakerscouts release date nike lebron 17 low blackuniversity red  march 15 2020 170 sneakerscouts kingjames nike  , No Match, Neutral 
638, zacharygriffin the longer the university waits to send out an official email the more confusion students amp faculty will have a face , confusion, Negative 
639, vankayak thank you to the hardworking scientists working around the clock to keep us safe   dr samira mubareka and dr rob kozak of , thank | safe | , Positive 
640, natestubby tiffin university student body postpone classes until further notice  sign the petition  via cha , No Match, Neutral 
641, floridastate with the closure of k12 school districts across the state of florida due to concerns about covid19 florida state unive , concerns, Negative 
642, ohiou all ohio university courses will move to remote and online delivery for the remainder of the semester  , No Match, Neutral 
643, bernardkeane johnhempton cosmicpinot hes doing a fantastic job but in order to flattenthecurve were going to need to start cancelling university classes around the country , fantastic, Positive 
644, usc plans to issue partial refunds or credits for housing and dining fees to students in oncampus housing   as of now the university has not worked out the specifics of the process , issue | worked | , Neutral 
645, suicidalxme coronamemes hippity hoppity corona took down your university  , No Match, Neutral 
646, denniscattell darthmorley countgeekula lioneltwigg debracranfield fionathomas1 lindsaylyster maevefinn jokerscyanide markynotts71 cupoftea69 booksr4life lwhea96619 fascinating  this reminds me of learning about this at university , fascinating, Positive 
647, health saint marys university and msvu follow suit with dalhousie university in covid19 prevention  , saint, Positive 
648, 1000 layoffs at the university of alberta due to provincial cuts this is not the jobs pipelines and the economy jkenney promised its a brutal assault on one of canadas best universities cdnpse abpse ableg ualberta  , promised | brutal | assault | best | , Neutral 
649, olivergerard3 i want to thank university of west florida for expressing your interest in me playing in your basketball program  , thank, Positive 
650, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
651, 10tv ohio university moving classes online through the end of the spring semester at all campuses and locations  , No Match, Neutral 
652, harshbabe this is what vote suppression looks like ann arbor michigan clerk office outside university of michigan campus at 6pm  , suppression | like | , Neutral 
653, nancylevine revrrlewis libertyu i graduated from liberty university with a bachelors of science and received a great education no one who goes to lu actually takes jerry joke falwell seriously do not confuse that putrid human with my education , liberty | great | joke | confuse | , Neutral 
654, wonder how many university students realise they are basically paying thousands for the equivalent of a mooc style education covid19 , wonder, Positive 
655, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
656, notgreatatmath classes being switched to online yeah im gonna need my meal plan university fee dorm passes breathing fee and al , No Match, Neutral 
657, uhiarchaeology media  news  orkney students to benefit from nearly 1 million local donation  university of the highlands and islan , benefit, Positive 
658, 680news a research team comprising of clinical microbiologists and infectious disease specialists from sunnybrook hospital mcmaster u , No Match, Neutral 
659, trojanfball congrats amp good luck  excited for you to continue your career at benedictine university  , good | luck | excited | , Positive 
660, mperic17 excited to announce that i have committed to further my academic and athletic career at    the university of richmond j , excited, Positive 
661, news8 a website circulating the internet pretends to be a live map from johns hopkins university tracking coronavirus cases around th , No Match, Neutral 
662, fuck yeah no university i can sleep now  , fuck, Negative 
663, csusmnews how will universities like csusm pull off a midsemester transition to virtual learning due to the coronavirus threat gro , like | threat | , Neutral 
664, the university is developing prorated reimbursements for students who reside on the athens campus andor have a dining plan and more communications will come later when plans are finalized , No Match, Neutral 
665, themissil3 after a great conversation with coachbojay i am blessed to say that i have received my 2nd division 1 offer to play footb , great, Positive 
666, cess122719 congrats love on your nominations in gawad pasado awards 2020 pinakapasadong aktres  and all other categories for hlg , love | awards | , Positive 
667, gwszekeres no one said it was youre making this about something its not i can complete exactly 1 of my classes remotely most of our department is the same the university has a responsibility to deliver the education promised and paid for which they cannot effectively do remotely , promised | effectively | , Positive 
668, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
669, matertrauma the mater misericordiae university hospital is cancelling all elective orthopedic and spinal services at the hospital from , No Match, Neutral 
670, lonyattaa this past weekend it was a great visit down at th university of oregon thank you coachcristobal and oregonfootball for ha , great | thank | , Positive 
671, otrautman what a season what a team what a family  faced challenges overcame obstacles and grew not only as a gymnast but as a pe , No Match, Neutral 
672, a dangote presidency wont be a bad idea dangote to establish university in abuja earmarks n200 billion  premium times nigeria  , bad, Negative 
673, tiffin university student body postpone classes until further notice  sign the petition  via change , No Match, Neutral 
674, cjwerleman more than 90 percent of college and university students surveyed in indianadministered kashmir want a complete withdrawal , No Match, Neutral 
675, pinkkk00 i am proud to announce that i am xavier university of louisianas 20202021 miss junior thank you to everyone that voted i , proud | miss | thank | , Positive 
676, therealkeean big labour is going to be hella mad when people realize that there is literally no difference between an arts degree wo , mad, Negative 
677, drvevanswinters my sons university is sending its students home early due to corona virus   yall know i love my baby  buti neve , virus | love | , Neutral 
678, whoisdeydzi thats uncle terry a dance lecturer at department of dance studies school of performing arts university of ghana , No Match, Neutral 
679, really glad iubloomington can fulfill the promise to everyone except part time employees extremely disappointed in the university ive gotten my degrees from and worked at for the past 5 years would love if they could follow in the footsteps of their alum mcuban , glad | promise | disappointed | worked | love | , Positive 
680, 178kakapo un  event for palestine  mar 27  29 2020    nyc first palestine writes festival  friday 27  sunday 29 new y , mar, Negative 
681, loopschaeng as you can see chaeyoung is very serious about the university fashion club  , No Match, Neutral 
682, knf we at da crib university fr now , No Match, Neutral 
683, yiiingtan some good news to cheer you up korea and china are recovering vietnam had their cases under control until british tourists , good | cheer | , Positive 
684, timsullivan714 texted rick pitino asking whether grand canyon university was a strong possibility for him oneword response no , grand | strong | , Positive 
685, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
686, yiiingtan some good news to cheer you up korea and china are recovering vietnam had their cases under control until british tourists , good | cheer | , Positive 
687, yaatechiwaa i am so happy to announce i will be serving as xavier university of louisianas miss sophomore for the 20202021 school y , happy | miss | , Neutral 
688, academicpiracy excited to share that jpaejournal just released a call for papers for a special issue on ethics education to be edite , excited | issue | , Neutral 
689, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
690, muhahmed0145 follow the link to join our team    what is campus bcat   campus bcat is a university , No Match, Neutral 
691, more babies needed for a serious arrangement 2500 only dm me  sugardaddyneeded  sugarmummyneeded  seekingarrangement seekingarrangements  university collegestudent sugarmommylegit , No Match, Neutral 
692, grahamallen1 realdonaldtrump barackobama barack tested 1 million people with the h1n1 virus in the first 30 days trump has tested less than 10000 in 50 days whered you get your math degree trump university people cant die from something you refuse to test for , virus | trump | trump | die | refuse | , Negative 
693, carabins and rouge et or to launch the 2020 university football season at tva sports  via usportsca  , No Match, Neutral 
694, thicj00n nah because i really paid 9k to self teach myself for basically this whole year lmao lmao lmao lmao lmao university is a scam , scam, Negative 
695, djuiagalelei because of the corona virus i would like to say i will be taking my talents to da crib university for these next couple o , virus | like | talents | , Positive 
696, mariefrrenaud university of alberta to eliminate up to 1000 positions in face of funding cuts  cbc news  , No Match, Neutral 
697, vnghy there were a lot left at sams in university i went 1 hr ago , No Match, Neutral 
698, another great feature  f   , great, Positive 
699, knf we at da crib university fr now , No Match, Neutral 
700, so the university was on fire and classes moved online today due to pandemic 2020s goin great , great, Positive 
701, ucl facetoface teaching at ucl has been suspended for the remainder of this academic year and the university is moving towards deliv , No Match, Neutral 
702, hiddenlotvs i was supposed to do two major presentations for monday morning back to back just received an email from my university bo , No Match, Neutral 
703, yonatshimron as jackmjenkins reports trumps evangelical advisors appear to be minimizing covid19 concerns liberty university isn , concerns | liberty | , Neutral 
704, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
705, iamshehab me and my gang going to university this saturday    , No Match, Neutral 
706, cbcedmonton university of alberta to eliminate up to 1000 positions in face of funding cuts   , No Match, Neutral 
707, mariefrrenaud university of alberta to eliminate up to 1000 positions in face of funding cuts  cbc news  , No Match, Neutral 
708, 23jjones university of louisville forever and always   , No Match, Neutral 
709, kaylaeferguson am i the only one that doesnt want my university to go to online courses i didnt sign up to take online courses fo , No Match, Neutral 
710, knf we at da crib university fr now , No Match, Neutral 
711, lakelover20 university of texas in austin shuts down    university of texas presidents wife tests positive for coronavirus  last we , positive, Positive 
712, communemag with so much at stake the outcome of the cola movement could well resonate for years shaping the university of californ , well, Positive 
713, a silver lining for anyone who still has to go to work on a university campus despite class cancellations due to covid19 at least there will be parking  , work, Positive 
714, ohiou all ohio university courses will move to remote and online delivery for the remainder of the semester  , No Match, Neutral 
715, paulcoxon in 1665 the university of cambridge temporarily closed due to the great plague isaac newton had to switch to a virtual lear , great | plague | , Neutral 
716, stiruni uofstirling staff and students please check your email for an update on our response to covid19 coronavirus  the univers , No Match, Neutral 
717, yonatshimron as jackmjenkins reports trumps evangelical advisors appear to be minimizing covid19 concerns liberty university isn , concerns | liberty | , Neutral 
718, cess122719 congrats love on your nominations in gawad pasado awards 2020 pinakapasadong aktres  and all other categories for hlg , love | awards | , Positive 
719, all assessments after this date that require students to be at the university will be rearranged , No Match, Neutral 
720, otrautman what a season what a team what a family  faced challenges overcame obstacles and grew not only as a gymnast but as a pe , No Match, Neutral 
721, bryanbehar i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
722, uoft all inperson undergraduate and researchstream masters and doctoral courses at uoft st george utsc and utm are cancelled as , masters, Positive 
723, lancegooden college students  if you live in university housing and your school is forcing you to leave campus ask that they refund , refund, Positive 
724, 66cehennem12 arrest the ceo of the university , No Match, Neutral 
725, brettdickie tough few days for a lot of people involved proud of my team at producedbysea and thanks to everyone within acadiaathl , tough | proud | , Positive 
726, twincitiesgeeks we have also automated the same channel to post rss feeds from the cdc mn dept of health and the university of mn ce , No Match, Neutral 
727, tiffin university student body postpone classes until further notice  sign the petition  via change , No Match, Neutral 
728, congrats to clairedjimenez phd student at the university of nebraskalincoln amp assistant fiction editor at prairieschooner on her 201920 hornblower award for a first book win from nysoclib   her book is available from us instore or at   , fiction | award | win | available | , Positive 
729, ohiou all ohio university courses will move to remote and online delivery for the remainder of the semester  , No Match, Neutral 
730, jazmineawoyemi i should be paying half the price for university since theyve closed down imagine paying 9250 to get taught via emai , No Match, Neutral 
731, niallmarinus someone tell the university of cape town that lectures are mass gatherings  so canceling graduations but not lectures ma , No Match, Neutral 
732, saddickadams lol university of ibadan nigeria copied ucc coronavirus memo ditto ditto i see africa unity   , unity, Positive 
733, solomonster full sail university has shut down due to the coronavirus outbreak which includes all nxt tapings going forward  much li , outbreak, Negative 
734, davideggenab university of alberta to eliminate up to 1000 positions in face of funding cuts  cbc news  , No Match, Neutral 
735, deshawnpage7 ag2g blessed to receive an offer from arkansas state u university redwolves coachdduggan  , No Match, Neutral 
736, loopschaeng as you can see chaeyoung is very serious about the university fashion club  , No Match, Neutral 
737, based on recommendation from the university of kentucky the cowcalf conference scheduled for march 18 2020 at the extension office has been cancelled we appreciate your patience and understanding as we try to navigate this situation the health and safety of our clientel  , recommendation | appreciate | patience | , Positive 
738, i dont take responsibility at all  cant wait to take that leadership seminar at trump university , trump, Positive 
739, chrisstringer65 the department of archaeology university of cambridge is looking to appoint a new lecturer in heritage studies  , No Match, Neutral 
740, djuiagalelei because of the corona virus i would like to say i will be taking my talents to da crib university for these next couple o , virus | like | talents | , Positive 
741, i honestly cannot imagine what adamtickell and the sussexuni management are thinking keeping the university open for business as usual recklessly irresponsible because im a poorly paid fractional employee i have to go teach next week because i need the paycheck , recklessly | irresponsible | poorly | , Negative 
742, mhtiba study at university and travel all over the world , No Match, Neutral 
743, coronavirus six oxford university students diagnosed  , No Match, Neutral 
744, iiuiofficial in pursuance of the directive given by federal government of pakistan in wake of coronavirus outbreak covid19intern , outbreak, Negative 
745, kirleynorman columbus state universityour tremendous seniorsgreat start at 183 and on top of the peach belt conference at 111 , top | peach | , Positive 
746, terriermbb thanks to cbssportshq for having bucoachjones on to discuss the excitement surrounding our patriotleague championship vi , excitement, Positive 
747, nanso university of ghana said they will put sanitizers and things infront of halls lmao  , No Match, Neutral 
748, usofdisaster please join me right here monday march 16 5pm est for the first covidcalls session with ggronvall from the center for , right, Positive 
749, i trust trump to handle this coronavirus outbreak as much as i trust him to run a casino or a university or a clothing line or a charity organization or , trust | trump | outbreak | trust | , Positive 
750, 23jjones university of louisville forever and always   , No Match, Neutral 
751, momentswithbren flinders university scholarships for international students 2020 fully funded  applications close friday7 august 20 , No Match, Neutral 
752, fox9 breaking university of minnesota student tests positive for coronavirus  , breaking | positive | , Neutral 
753, sims 4 expansion packs r on sale do i want university or  get famous  , famous, Positive 
754, otrautman what a season what a team what a family  faced challenges overcame obstacles and grew not only as a gymnast but as a pe , No Match, Neutral 
755, saintkenedi the university wants us off campus so bad but they really need to be providing students with some kind of stipend or compe , bad, Negative 
756, gyungheepark university college cork teaching staff should refuse to teach during the shut down in solidarity w kylemore catering emp , refuse | solidarity | , Neutral 
757, jencarfagno thank you to dr bill west wmwuest   ga research alliance distinguished investigator amp ass prof of chemistry at emory u , thank | distinguished | , Positive 
758, at this point i should just change my social media bios to zoom university class of 21 , No Match, Neutral 
759, another interview request this one from the university , No Match, Neutral 
760, university of alberta to eliminate up to 1000 positions in face of funding cuts  cbc news  , No Match, Neutral 
761, knf we at da crib university fr now , No Match, Neutral 
762, reclaimuc with so much at stake the outcome of the cola movement could well resonate for years shaping the university of california , well, Positive 
763, solomonster full sail university has shut down due to the coronavirus outbreak which includes all nxt tapings going forward  much li , outbreak, Negative 
764, lottelydia  unisouthampton end of term moved to today   no online teaching next week but university will stay open  , No Match, Neutral 
765, lootenantdans7 the university is 100 protected from covid19 thanks to duo twofactor authorization , No Match, Neutral 
766, cairngrog good fun working on this and of course a massive thank you to kevin webb nottingham university who came up with the aura , good | fun | thank | , Positive 
767, traceyiva is it true that a multimedia university student tested positive for coronavirus if this is true we are finished  corona , positive, Positive 
768, workfit we almost forgot to mention pacific university erin guidarelli received her masters from here dont worry we got you gir , masters | worry | , Neutral 
769, sandyosullivan i know a few academics have money in their university research accounts  maybe prioritise hiring sessional academics w , No Match, Neutral 
770, queens professor was under investigation for sexual harassment before his death  , harassment | death | , Negative 
771, ohiou all ohio university courses will move to remote and online delivery for the remainder of the semester  , No Match, Neutral 
772, to be clear still no cases among residents or staff emails says theyre identifying dorms that have easy exterior access and consolidating students out of them stack 1 is semidetached this contradicts earlier information from university spokesperson , clear | easy | , Positive 
773, csusmnews how will universities like csusm pull off a midsemester transition to virtual learning due to the coronavirus threat gro , like | threat | , Neutral 
774, djuiagalelei because of the corona virus i would like to say i will be taking my talents to da crib university for these next couple o , virus | like | talents | , Positive 
775, ubleiden due to the coronavirus all leiden university library study facilities will be closed from saturday 14 march until further no , No Match, Neutral 
776, toryfibs turkey has a single case of coronavirus but they are taking no chances today they have ordered the closing of every school , No Match, Neutral 
777, the university interscholastic league has shut down all athletic evens through march 29 scurrycounty , No Match, Neutral 
778, knf we at da crib university fr now , No Match, Neutral 
779, cajun4trump coronavirus by the numbers as reported by  john hopkins university  when you really look at the numbers you have to wonder , wonder, Positive 
780, joshmoorehl the university of kentucky athletics program effectively going dark no athletes through april 15 no coaches or staff ava , effectively | dark | , Neutral 
781, newzroom405 icymi jjtabane in conversation with adhabb who gives an update on tertiary education in sa his departure from wits un , No Match, Neutral 
782, jadaada81 i am so happy to announce that i am the 84th miss xavier university of louisiana i would like to thank everyone who helped , happy | miss | like | thank | helped | , Positive 
783, knf we at da crib university fr now , No Match, Neutral 
784, loopschaeng as you can see chaeyoung is very serious about the university fashion club  , No Match, Neutral 
785, cp24 breaking york university to suspend classes and move to online instruction amid pandemic   , breaking, Negative 
786, knf we at da crib university fr now , No Match, Neutral 
787, imramansehmbi sfu they keep saying that there are no positive cases in the university that they are currently aware of which means that they are waiting until someone does test positive , positive | positive | , Positive 
788, loganmoss blessed to receive my first offer from the university of arkansasmonticello coachjweevils weevilfootball  , No Match, Neutral 
789, knf we at da crib university fr now , No Match, Neutral 
790, shadyad22065021 university students are more prone to infection with corona virus  , infection | virus | , Negative 
791, paulsperry breaking university of texas today canceled classes amp closed university after confirming first case of covid19 this morn , breaking, Negative 
792, ephriyie god has an interesting sense of humor because when i actually started this business back in university some  my family member , interesting | humor | , Positive 
793, honestly having inperson class the day after your university sends out notification that you are going online after spring break which is next week seems a little crazy , break | crazy | , Negative 
794, ohio university classes will be going online and remote for the remainder of the spring semester you can find uptodate plans at  here are some of the major points though  , No Match, Neutral 
795, payusmoreucsc new wave of retaliation for striking began ucsc is retaliating against individual organizers and suspending them from , striking, Positive 
796, yucommentator with staff members and university dorms will be open only to those living in housing visitors showing symptoms such a , symptoms, Negative 
797, themitchsports notthefakesvp mitch was once the godfather at harrison university now he pisses himself  , No Match, Neutral 
798, with so much at stake the outcome of the cola movement could well resonate for years shaping the university of california academic labor and the labor movement more broadly  , well, Positive 
799, wolfe321 looking at who dies in an outbreak shows you who has power and who doesnt columbia university epidemiology professor wafa , dies | outbreak | , Negative 
800, lancegooden college students  if you live in university housing and your school is forcing you to leave campus ask that they refund , refund, Positive 
801, cjwerleman more than 90 percent of college and university students surveyed in indianadministered kashmir want a complete withdrawal , No Match, Neutral 
802, jonnydavid also on the behalf of university of kentucky we call dibs on the national championship so if no one else claimed it yet ju , No Match, Neutral 
803, esethu54556084 i am a social work graduate from nelson mandela university and i am looking for employment , work, Positive 
804, three duke university graduate students have tested positive for coronavirus outside of the united states theduke chronicle reports  , positive, Positive 
805, ichaydon wow  dean of university of washington medical school is asking qualified graduate students to pause their research and inste , wow | qualified | , Positive 
806, reganyant npowellff salary plus commissionincentive pay base pay isnt huge but can make a lot more with incentives unfortunately 3 of my biggest stores are selling beer around marquette university campus which told students to stay away from until april 10th , unfortunately, Negative 
807, higheredsocial hey instagram you know what would be really helpful for colleges right now the ability to have swipe up links in st , helpful | right | swipe | , Positive 
808, billgates i have an idea that could create the highest quality lowest cost and most accessible online university in the world  , accessible, Positive 
809, cyrid5 universityfox google image search ftw  , ftw, Positive 
810, lancegooden college students  if you live in university housing and your school is forcing you to leave campus ask that they refund , refund, Positive 
811, loettappaulsen i see life like one long university education i never had i learn something every day  richard branson leadership  , like, Positive 
812, noiresearch in 1923 the harvard crimson newspaper reported on the campuss ku klux klan chapter it called the harvard klan it clai , No Match, Neutral 
813, kschellpeper1 just saw the tweet of campus closinguniversity of aberdeen where im at has suspended all face to face classes likely finish all courses online  , No Match, Neutral 
814, hystericalblkns it is not possible to move courses online overnight or over a weekend cancel classes support students staff facult , support, Positive 
815, paulvandermeer the dow today just looks like trump vodka casino university and steaks  , like | trump | , Positive 
816, athenahresvelg i shouldnt need to explain why this ukcoronavirus email is condescending inconsiderate ableist and downright dang , condescending | inconsiderate | , Negative 
817, momentswithbren 600 fully funded graduate research scholarships university of melbourne australia  covers  full tuition fee stipend , No Match, Neutral 
818, mikehogan42 the biggest question now is will inperson classes actually resume march 27   or will it be pushed back another week or , No Match, Neutral 
819, meet laura hale our childrens university administrator laura has been part of our team for 3 years amp we have no idea how we coped before she is integral to our team amp supports everyone in the office in some way  , hale | integral | supports | , Positive 
820, school districts across the state  including denver boulder aurora and jeffco  announce closures in response to coronavirus boulder  , No Match, Neutral 
821, dalhousieu covid update 4 classes suspended next week university remains open update on residences and travel  , No Match, Neutral 
822, herhafiz uthmaan sadiqwhyte guduma abdulfatahadnan pakizubair we want to graduate bro we are not in the university to be stu , No Match, Neutral 
823, marfoogle all universitys in kansas closed  today  one kansan died from  wyndott county kansas city , died, Negative 
824, jaafarsjaafar 5 if actually this graduate is mentally stable as the presidency wants us to believe then the university he graduated , stable, Positive 
825, paulsperry breaking university of texas today canceled classes amp closed university after confirming first case of covid19 this morn , breaking, Negative 
826, umanitoba this twoday pause allows the university to prepare to move classes to alternative modes of instruction   as of wednesday , No Match, Neutral 
827, rianneletschert picture from the crisis board room deeply impressed by our dedicated academic and support staff who work day and nigh , crisis | impressed | dedicated | support | work | , Positive 
828, drmarcspooner university of alberta to eliminate up to 1000 positions in face of funding cuts  cbc news  , No Match, Neutral 
829, bbcpolitics the uk is really out on a limb here and they are taking an approach which puts them alone in the world i think its a g , No Match, Neutral 
